plan_id	mhlw_plan_code	prefecture	facility	category	treatment_class	price_status	amount	amount_min	amount_max	tax	unit	product	maker	plan_evidence_url	price_source	merge_status
V41_01C2508067	01C2508067	東京都	白金高輪やまと整形外科	第三種	PRP	価格確定	190000			税別		ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2508067/5/0	AUTO	READY
V41_01C2603053	01C2603053	東京都	目黒ひざ＆形成外科クリニック	第三種	PRP	価格確定	50000			税別	1回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603053/5/0	AUTO	READY
V41_01C2603053	01C2603053	東京都	目黒ひざ＆形成外科クリニック	第三種	PRP	価格確定	120000			税別	1回	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603053/5/0	AUTO	READY
V41_01C2603053	01C2603053	東京都	目黒ひざ＆形成外科クリニック	第三種	PRP	価格確定	180000			税別	1回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603053/5/0	AUTO	READY
V41_01C2603059	01C2603059	東京都	目黒ひざ＆形成外科クリニック	第二種	PRP	価格確定	50000			税別	1回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603059/5/0	AUTO	READY
V41_01C2603059	01C2603059	東京都	目黒ひざ＆形成外科クリニック	第二種	PRP	価格確定	120000			税別	1回	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603059/5/0	AUTO	READY
V41_01C2603059	01C2603059	東京都	目黒ひざ＆形成外科クリニック	第二種	PRP	価格確定	180000			税別	1回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603059/5/0	AUTO	READY
V41_01C2603059	01C2603059	東京都	目黒ひざ＆形成外科クリニック	第二種	PRP	価格確定	300000			税別	1回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603059/5/0	AUTO	READY
V41_02C2602063	02C2602063	東京都	社会医療法人財団　仁医会　牧田総合病院	第三種	PRP	価格確定	150000			税別		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2602063/5/0	AUTO	READY
V41_02C2602063	02C2602063	東京都	社会医療法人財団　仁医会　牧田総合病院	第三種	PRP	価格確定	300000			税別		APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2602063/5/0	AUTO	READY
V41_02C1909198	02C1909198	東京都	社会福祉法人　みどり福祉会  B&Jクリニック　お茶の水	第三種	PRP	価格確定		20000	150000	税別	PRP・1回	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1909198/5/0	AUTO	READY
V41_03C2502007	03C2502007	東京都	社会福祉法人同愛記念病院財団 同愛記念病院	第三種	PRP	価格確定	30000			税別	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2502007/5/0	AUTO	READY
V41_03C2506013	03C2506013	東京都	社会福祉法人賛育会　賛育会病院	第三種	PRP	価格確定	55000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2506013/5/0	AUTO	READY
V41_03C2310002	03C2310002	東京都	祐天寺整形外科クリニック	第三種	PRP	価格確定	100000			税別	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2310002/5/0	AUTO	READY
V41_02C1910144	02C1910144	東京都	神谷整形外科・眼科	第三種	PRP	価格確定	20000			税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1910144/5/0	AUTO	READY
V41_02C1910144	02C1910144	東京都	神谷整形外科・眼科	第三種	PRP	価格確定	40000			税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1910144/5/0	AUTO	READY
V41_02C2111033	02C2111033	東京都	羽田内科医院	第三種	PRP	価格確定	15000			不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2111033/5/0	AUTO	READY
V41_01C2507072	01C2507072	東京都	葛西駅前あおぞら整形外科クリニック	第三種	PRP	価格確定	55000			不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2507072/5/0	AUTO	READY
V41_01C2407094	01C2407094	東京都	表参道総合医療クリニック	第二種	脂肪由来幹細胞	価格確定	1980000			税込	5,000万個・1椎間・1回	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407094/5/0	AUTO	READY
V41_01C2407094	01C2407094	東京都	表参道総合医療クリニック	第二種	脂肪由来幹細胞	価格確定	2310000			税込	5,000万個・2椎間・1回	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407094/5/0	AUTO	READY
V41_01C2407094	01C2407094	東京都	表参道総合医療クリニック	第二種	脂肪由来幹細胞	価格確定	2640000			税込	5,000万個・3椎間・1回	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407094/5/0	AUTO	READY
V41_01C2407094	01C2407094	東京都	表参道総合医療クリニック	第二種	脂肪由来幹細胞	価格確定	2530000			税込	1億個・1椎間・1回	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407094/5/0	AUTO	READY
V41_01C2407094	01C2407094	東京都	表参道総合医療クリニック	第二種	脂肪由来幹細胞	価格確定	2860000			税込	1億個・2椎間・1回	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407094/5/0	AUTO	READY
V41_01C2407094	01C2407094	東京都	表参道総合医療クリニック	第二種	脂肪由来幹細胞	価格確定	3190000			税込	1億個・3椎間・1回	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407094/5/0	AUTO	READY
V41_01C2506023	01C2506023	東京都	表参道総合医療クリニック	第二種	脂肪由来幹細胞	価格確定	1650000			税込	自己脂肪由来間葉系幹細胞1億個・1部位（片側）	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2506023/5/0	AUTO	READY
V41_01C2506023	01C2506023	東京都	表参道総合医療クリニック	第二種	脂肪由来幹細胞	価格確定	2200000			税込	膝・肩・手関節 2部位（両側）	脂肪由来幹細胞		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2506023/5/0	AUTO	READY
V41_03C2410026	03C2410026	東京都	西新宿整形外科クリニック	第二種	PRP	価格確定	50000			不明	6回	MyCells	MyCells系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2410026/5/0	AUTO	READY
V41_03C2410026	03C2410026	東京都	西新宿整形外科クリニック	第二種	PRP	価格確定	150000			不明	6回	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2410026/5/0	AUTO	READY
V41_03C2410026	03C2410026	東京都	西新宿整形外科クリニック	第二種	PRP	価格確定	170000			不明	6回	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2410026/5/0	AUTO	READY
V41_03C2410026	03C2410026	東京都	西新宿整形外科クリニック	第二種	PRP	価格確定	400000			不明	6回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2410026/5/0	AUTO	READY
V41_03C2410026	03C2410026	東京都	西新宿整形外科クリニック	第二種	PRP	価格確定	750000			不明	6回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2410026/5/0	AUTO	READY
V41_01C2406033	01C2406033	東京都	豪徳寺整形外科クリニック	第二種	PRP	価格確定	55000			税込	1回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2406033/5/0	AUTO	READY
V41_01C2512048	01C2512048	東京都	運動器クリニック市ヶ谷	第三種	PRP	価格確定	80000			税別	1部位	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2512048/5/0	AUTO	READY
V41_01C2512048	01C2512048	東京都	運動器クリニック市ヶ谷	第三種	PRP	価格確定	120000			税別	1部位	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2512048/5/0	AUTO	READY
V41_01C2601001	01C2601001	東京都	運動器クリニック市ヶ谷	第二種	PRP	価格確定	80000			税別	1部位	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601001/5/0	AUTO	READY
V41_01C2601001	01C2601001	東京都	運動器クリニック市ヶ谷	第二種	PRP	価格確定	120000			税別	1部位	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601001/5/0	AUTO	READY
V41_01C2601001	01C2601001	東京都	運動器クリニック市ヶ谷	第二種	PRP	価格確定	240000			税別	1部位	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601001/5/0	AUTO	READY
V41_01C2601001	01C2601001	東京都	運動器クリニック市ヶ谷	第二種	PRP	価格確定	300000			税別	1部位	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601001/5/0	AUTO	READY
V41_01C2503076	01C2503076	東京都	都立大整形外科クリニック	第二種	PRP	価格確定	50000			税別	1 回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503076/5/0	AUTO	READY
V41_01C2503076	01C2503076	東京都	都立大整形外科クリニック	第二種	PRP	価格確定	35000			税別		ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503076/5/0	AUTO	READY
V41_01C2503076	01C2503076	東京都	都立大整形外科クリニック	第二種	PRP	価格確定	150000			不明	1 回	ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503076/5/0	AUTO	READY
V41_01C2503076	01C2503076	東京都	都立大整形外科クリニック	第二種	PRP	価格確定	35000			不明	1 回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503076/5/0	AUTO	READY
V41_01C2503076	01C2503076	東京都	都立大整形外科クリニック	第二種	PRP	価格確定	95000			不明	1 回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503076/5/0	AUTO	READY
V41_01C2503077	01C2503077	東京都	都立大整形外科クリニック	第三種	PRP	価格確定	50000			税別	1 回(1 部位)	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503077/5/0	AUTO	READY
V41_01C2503077	01C2503077	東京都	都立大整形外科クリニック	第三種	PRP	価格確定	35000			税別		ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503077/5/0	AUTO	READY
V41_01C2503077	01C2503077	東京都	都立大整形外科クリニック	第三種	PRP	価格確定	150000			不明	1 回(1 部位)	ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503077/5/0	AUTO	READY
V41_01C2503077	01C2503077	東京都	都立大整形外科クリニック	第三種	PRP	価格確定	35000			不明	1 回(1 部位)	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503077/5/0	AUTO	READY
V41_01C2503077	01C2503077	東京都	都立大整形外科クリニック	第三種	PRP	価格確定	95000			不明	1 回(1 部位)	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503077/5/0	AUTO	READY
V41_03C2606011	03C2606011	東京都	銀座YRクリニック	第二種	脂肪由来幹細胞	価格確定	1760000			税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2606011/5/0	AUTO	READY
V41_03C2606016	03C2606016	東京都	銀座YRクリニック	第二種	PRP	価格確定	214500			不明	1 回	Condensia	京セラ	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2606016/5/0	AUTO	READY
V41_03C2606016	03C2606016	東京都	銀座YRクリニック	第二種	PRP	価格確定	264000			不明	1 回	MyCells	MyCells系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2606016/5/0	AUTO	READY
