candidate_type,kind,prefecture,facility,address,treatment,treatment_class,existing_facility_name,existing_address,same_address_plan_id,same_address_facility,facility_name_similarity,duplicate_current_rows,document_urls
new_facility,2,大阪府,医療法人Nクリニック　本町Nクリニック,大阪市西区西本町一丁目４番１号オリックス本町ビル２階,変形性関節症に対する多血小板血漿を用いた再生医療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2508014/5/0
new_facility,3,大阪府,医療法人Nクリニック　本町Nクリニック,大阪市西区西本町一丁目４番１号オリックス本町ビル２階,多血小板血漿を用いた腱板、筋、腱および周辺組織の治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2508015/5/0
new_facility,2,大阪府,医療法人Nクリニック　本町Nクリニック,大阪市西区西本町一丁目４番１号オリックス本町ビル２階,脂肪幹細胞を用いた変形性関節症に対する再生医療,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2508013/5/0
new_facility,2,大阪府,医療法人Nクリニック　本町Nクリニック,大阪市西区西本町一丁目４番１号オリックス 本町ビル２階,脂肪由来間葉系間質細胞を用いた腱板、腱、靭帯、筋および周辺組織の治療,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510012/5/0
existing_facility_new_plan,3,大阪府,医療法人一幸会 いっしん整形外科,大阪市平野区喜連東五丁目16番22号,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2104018/5/0
new_facility,2,大阪府,医療法人信生会 Rクリニック,"大阪市中央区南船場4丁目5番8号　
ラスターオン心斎橋ビル4階",膝関節症に対する自己脂肪由来幹細胞による治療,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2606017/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2606017/5/1
new_facility,3,大阪府,医療法人光明会　もりあきクリニック,箕面市船場西3-8-11ＣＯＭプラザ１Ｆ,自己多血小板血漿（PRP)を用いた、筋・腱・靱帯の軟部組織再生療法,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2307007/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2307007/5/1
existing_facility_new_plan,2,大阪府,医療法人再生会　そばじまクリニック,"東大阪市荒本北2-2-6　クリニックコート東野1F,2F,3F",腱損傷に対する自家脂肪組織由来細胞群による疼痛緩和治療,その他MSK,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2304028/5/0
existing_facility_new_plan,3,大阪府,医療法人医誠会　医誠会国際総合病院,大阪市北区南扇町4−14,自己多血小板血漿(Platelet-rich plasma：PRP)を用いた整形外科領域における軟部組織治療,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2508010/5/0
existing_facility_new_plan,3,大阪府,医療法人医進会　高石加茂病院,高石市西取石3丁目23番17号,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2603014/5/0
