global_candidate_count	repo_facility_count	batch	batch_index	facility_key	prefecture	facility	mhlw_plan_codes	treatment_classes	source_generations	baseline_products	products_found	explicit_makers	validated_inferred_makers	unvalidated_products	final_makers	maker_evidence_type	safe_resolved	pdf_count	attempts	retry_403	context_resets_so_far	document_urls	http_statuses	evidence_json
366	812	1	1	京都府|CliniqueHaruKyoto	京都府	Clinique Haru Kyoto	01E2605013|01E2605018	PRP|脂肪由来幹細胞	v41		ACP|APS|GPS|MyCells|TriCeLL		Arthrex|Zimmer Biomet	MyCells|TriCeLL	Arthrex|Zimmer Biomet	VALIDATED_PRODUCT_MAP	YES	3	7	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1	01E2605013:0:200|01E2605013:1:404|01E2605013:2:404|01E2605018:0:200|01E2605018:1:200|01E2605018:2:404|01E2605018:3:404	"[{""code"": ""01E2605018"", ""idx"": 1, ""url"": ""https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1"", ""page"": 1, ""type"": ""product"", ""hit"": ""ACP"", ""context"": ""価格表 キット名 価格(税込) マイセル(MyCells) 1回44,000円、3回1セットで110,000円 ACPダブルシリンジシステム 1回55,000円、3回1セットで143,000円 トライセル(TriCeLL) 1回165,000円 GPSIIIシステム 1回220,000円 APSキット 1回440,000円""}, {""code"": ""01E2605018"", ""idx"": 1, ""url"": ""https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1"", ""page"": 1, ""type"": ""product"", ""hit"": ""GPS"", ""context"": ""マイセル(MyCells) 1回44,000円、3回1セットで110,000円 ACPダブルシリンジシステム 1回55,000円、3回1セットで143,000円 トライセル(TriCeLL) 1回165,000円 GPSIIIシステム 1回220,000円 APSキット 1回440,000円""}, {""code"": ""01E2605018"", ""idx"": 1, ""url"": ""https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1"", ""page"": 1, ""type"": ""product"", ""hit"": ""APS"", ""context"": ""、3回1セットで110,000円 ACPダブルシリンジシステム 1回55,000円、3回1セットで143,000円 トライセル(TriCeLL) 1回165,000円 GPSIIIシステム 1回220,000円 APSキット 1回440,000円""}, {""code"": ""01E2605018"", ""idx"": 1, ""url"": ""https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1"", ""page"": 1, ""type"": ""product"", ""hit"": ""MyCells"", ""context"": ""価格表 キット名 価格(税込) マイセル(MyCells) 1回44,000円、3回1セットで110,000円 ACPダブルシリンジシステム 1回55,000円、3回1セットで143,000円 トライセル(TriCeLL) 1回165,000円 GPSIIIシステム 1回220,000円 APSキット 1回440,000円""}, {""code"": ""01E2605018"", ""idx"": 1, ""url"": ""https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1"", ""page"": 1, ""type"": ""product"", ""hit"": ""TriCeLL"", ""context"": ""価格表 キット名 価格(税込) マイセル(MyCells) 1回44,000円、3回1セットで110,000円 ACPダブルシリンジシステム 1回55,000円、3回1セットで143,000円 トライセル(TriCeLL) 1回165,000円 GPSIIIシステム 1回220,000円 APSキット 1回440,000円""}]"
366	812	1	2	千葉県|千葉ニュータウン整形外科リハビリテーションクリニック	千葉県	千葉ニュータウン整形外科リハビリテーションクリニック	01C2407085|01C2407086	PRP	v41							NONE	NO	2	6	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407085/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407086/5/0	01C2407085:0:200|01C2407085:1:404|01C2407085:2:404|01C2407086:0:200|01C2407086:1:404|01C2407086:2:404	[]
366	812	1	3	大阪府|医療法人翔寿会こんどう整形外科クリニック	大阪府	医療法人 翔寿会 こんどう整形外科クリニック	01E2411017|01E2411018	PRP	v40_queue|v41							NONE	NO	2	6	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2411017/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2411018/5/0	01E2411017:0:200|01E2411017:1:404|01E2411017:2:404|01E2411018:0:200|01E2411018:1:404|01E2411018:2:404	[]
366	812	1	4	山梨県|東甲府医院	山梨県	東甲府医院	01C2411014	PRP	v40_queue							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2411014/5/0	01C2411014:0:200|01C2411014:1:404|01C2411014:2:404	[]
366	812	1	5	東京都|いたばし整形外科関節クリニック	東京都	いたばし整形外科関節クリニック	01C2605016	PRP	v41							NONE	NO	1	3	0	0	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2605016/5/0	01C2605016:0:200|01C2605016:1:404|01C2605016:2:404	[]
366	812	1	6	東京都|医療法人社団彩康会十条整形外科リハビリクリニック	東京都	医療法人社団彩康会 十条整形外科リハビリクリニック	01C2604064|01C2604065	PRP	v40_queue|v41		APS|TriCeLL		Zimmer Biomet	TriCeLL	Zimmer Biomet	VALIDATED_PRODUCT_MAP	YES	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2604064/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2604065/5/0	01C2604064:0:200|01C2604064:1:404|01C2604064:2:404|01C2604065:0:200|01C2604065:1:404|01C2604065:2:404	"[{""code"": ""01C2604064"", ""idx"": 0, ""url"": ""https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2604064/5/0"", ""page"": 4, ""type"": ""product"", ""hit"": ""TriCeLL"", ""context"": ""適応の場合、治療を行う日程を決めます 。PRP治療は日帰りで行うことができます。 (2)治療の方法 【院内製造の場合】 PRP院内製造の場合は、 1) PRP調製のための 約 30 ~32mL採血、 2) TriCeLLPRP濃縮 キットを用いて遠心分離・クリーンベンチ内での PRP調製、 3) 炎症部位への PRPの注入、 4) 経過観察 (フォローアップ ) の段階で行われます 。 PRPの注入は診察室 または 処置室で 行います 。 ※院内製造の場合のメリット:採血量が少なく体への負担が少ないこと、投与量・投与回数に融 通が利き、一回の治療は一日で完了いたしま""}, {""code"": ""01C2604064"", ""idx"": 0, ""url"": ""https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2604064/5/0"", ""page"": 6, ""type"": ""product"", ""hit"": ""APS"", ""context"": ""¥130,000 (税込額¥143,000) 【院内製造の場合】 T riCeLL 血液分離専用容器キットによる施術料(1 回) ¥100,000 (税込額¥110,000) APS 血液分離専用容器キットによる施術料(1 回) ¥300,000 (税込額¥330,000) ※ 患者様の症状によっては治療を数回行うことがあります。症状や治療内容により治療価格が変 わる場合がございます 。治療前または治療後の状態から担当医師が判断し、患者様にお伝えし ご相談させて頂きます 。 ※施術する前に詳細な説明をいたしま""}, {""code"": ""01C2604064"", ""idx"": 0, ""url"": ""https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2604064/5/0"", ""page"": 7, ""type"": ""product"", ""hit"": ""APS"", ""context"": ""場合】 採血後(¥5,000 税込) 加工後のキャンセル料(¥70,000 税込) 【院内製造の場合】 T riCeLL 採血後(¥5,000 税込) 加工後のキャンセル料(¥50,000 税込) APS 採血後(¥5,000 税込) 加工後のキャンセル料(¥200,000 税込) もしこの治療を受けることに同意されない場合も、最適と考えられる治療を実施できるように患 者様の治療に最善を尽くします 。 ただし、治療を行った後は、健康管理・アフターフォローのために必要に応じて適切な検査を受 けていただき、医""}]"
366	812	1	7	東京都|池尻大橋せらクリニック	東京都	池尻大橋せらクリニック	01C2403007	PRP	v41	PRP						NONE	NO	1	3	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2403007/5/0	01C2403007:0:200|01C2403007:1:404|01C2403007:2:404	[]
366	812	1	8	神奈川県|医療法人光耀会菊地眼科クリニック	神奈川県	医療法人光耀会 菊地眼科クリニック	03C2409021	PRP	v41							NONE	NO	1	3	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2409021/5/0	03C2409021:0:200|03C2409021:1:404|03C2409021:2:404	[]
366	812	1	9	福岡県|学校法人国際志学園ZERO100クリニック	福岡県	学校法人 国際志学園 ZERO100クリニック	01G2603002	PRP	v41							NONE	NO	1	3	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01G2603002/5/0	01G2603002:0:200|01G2603002:1:404|01G2603002:2:404	[]
366	812	1	10	鳥取県|医療法人育生会高島病院	鳥取県	医療法人育生会 高島病院	01F2202004|01F2202005	PRP	v40_queue							NONE	NO	2	6	0	1	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2202004/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2202005/5/0	01F2202004:0:200|01F2202004:1:404|01F2202004:2:404|01F2202005:0:200|01F2202005:1:404|01F2202005:2:404	[]
