plan_id	mhlw_plan_code	facility_id_source	prefecture	facility	address	category	treatment	treatment_class	price_status	evidence_url	v41_lane	scope_status
V41_02C2410054	02C2410054	V41F70C769660D	東京都	医療法人社団敬和慶友会 自由が丘くびと腰の整形外科関節のクリニック	世田谷区奥沢5-20-22フレア3.6.9  2F,3F	第二種	自己多血小板血漿（Platelet-rich plasma：PRP）を用いた変形性関節症治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2410054/5/0	C	IN_SCOPE
V41_02C2410055	02C2410055	V41F70C769660D	東京都	医療法人社団敬和慶友会 自由が丘くびと腰の整形外科関節のクリニック	世田谷区奥沢5-20-22　フレア3.6.9  2F,3F	第二種	自己脂肪由来間葉系幹細胞を用いた変形性関節症治療	脂肪由来幹細胞	価格確定	https://seikeigeka.clinic/	D	IN_SCOPE
V41_02C2410056	02C2410056	V41F70C769660D	東京都	医療法人社団敬和慶友会 自由が丘くびと腰の整形外科関節のクリニック	世田谷区奥沢5-20-22 フレア3.6.9  2F,3F	第三種	自己多血小板血漿（Platelet-rich plasma : PRP)を用いた整形外科領域における軟部組織治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2410056/5/0	B	IN_SCOPE
V41_01C2309002	01C2309002	V41FDF57094AB0	東京都	医療法人社団晴美会　麹町リバース今井整形外科クリニック	千代田区麹町4-2-12-1F	第三種	自己多血小板血漿（PRP)を用いた、運動器組織再生療法（主に筋・腱・靱帯）	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2309002/5/0	A	IN_SCOPE
V41_01C2401012	01C2401012	V41FF2B2A8F6BD	東京都	医療法人社団最匠会　光伸メディカルクリニック	新宿区北新宿二丁目21番1号新宿フロントタワー3階301区I・J・K室	第三種	自己多血小板血漿（PRP)を活用した、運動器周辺組織再生療法（主に筋・腱・靱帯）	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2401012/5/0	B	IN_SCOPE
V41_01C2511011	01C2511011	V41FB76FB07D7E	東京都	医療法人社団東京Dタワーホスピタル	東京都江東区豊洲６丁目４番２０号Dタワー豊洲 １階・3階～5階	第二種	変形性関節症に対する脂肪組織由来幹細胞移植治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511011/5/0	C	IN_SCOPE
V41_02C2406003	02C2406003	V41F6A4CC0A4EC	東京都	医療法人社団松和会  池上総合病院	東京都大田区池上6-1-19	第二種	膝関節軟骨損傷に対する自己軟骨細胞シート移植	その他MSK	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2406003/5/0	D	IN_SCOPE
V41_01C2511037	01C2511037	V41FFEB5CF37F2	東京都	医療法人社団松和会 池上総合病院	大田区池上六丁目１番１９号	第三種	「自己多血小板血漿（PRP）を用いた筋肉、腱、靭帯、筋膜（関節外の軟部組織）の治療」	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511037/5/0	A	IN_SCOPE
V41_01C2512021	01C2512021	V41FFEB5CF37F2	東京都	医療法人社団松和会　池上総合病院	大田区池上六丁目１番１９号	第二種	自己多血小板血漿(PRP)の投与による変形性関節症の疼痛緩和を目的とした治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2512021/5/0	B	IN_SCOPE
V41_01C2405036	01C2405036	V41F5949CE9BFE	東京都	医療法人社団松徳会 松倉クリニック	渋谷区神宮前4-11-6   表参道千代田ビル9F	第二種	自己脂肪由来幹細胞を用いた変形性関節症の治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2405036/5/0	C	IN_SCOPE
V41_01C2406018	01C2406018	V41F98A311C8D4	東京都	医療法人社団桜伸会  サンテクリニック	中央区銀座8-12-15  全国燃料会館ビル2F	第二種	自家培養脂肪由来幹細胞の関節内投与による治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2406018/5/0	D	IN_SCOPE
V41_02C2605071	02C2605071	V41F2634FAF1FA	東京都	医療法人社団桜伸会　サンテクリニック	中央区銀座8-12-15　全国燃料会館2階	第二種	慢性疼痛緩和を目的とした自家培養脂肪由来間葉系幹細胞の関節内投与による治療	脂肪由来幹細胞	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2605071/5/0	A	IN_SCOPE
