match_type,scope,kind,prefecture,facility,address,treatment,best_score,nearest_plan_id,nearest_facility,nearest_treatment,score,matched_plan_id,matched_facility,matched_treatment,document_urls
possible_missing,strong_msk,2,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地  京都駅ビル内 ホテルグランヴィア京都6階,整形外科領域における外傷性疾患又は変性疾患による慢性疼痛緩和を目的とした自己脂肪組織由来間葉系間質細胞の静脈点滴治療,0.4106,P00369,一般社団法人日生会 CELL CLINIC KYOTO,慢性疼痛に対する自己脂肪由来幹細胞による治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605017/5/0
possible_missing,strong_msk,2,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内 ホテルグランヴィア京都6階,変形性関節症・関節炎に対する多血小板血漿(PRP)投与療法,0.4562,P00368,一般社団法人日生会 CELL CLINIC KYOTO,変形性関節症に対する自己脂肪由来幹細胞を用いた治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1
possible_missing,strong_msk,2,京都府,医療法人藍整会　なか整形外科　京都西院リハビリテーションクリニック,京都市右京区西院高山寺町13　西院阪急ビル3F,多血小板血漿による関節症治療,0.5829,P00370,医療法人いちまる整形外科クリニック,多血小板血漿を用いた整形外科疾患に対する関節内治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603014/5/0
possible_missing,strong_msk,2,京都府,医療法人財団康生会 たけだ膠原病リウマチクリニック,"京都市下京区東洞院通七条下る二丁目東塩小路町606-3 
三旺京都駅前ビル1階",自家脂肪組織由来の培養間葉系幹細胞を用いた変形性膝関節症の治療,0.693,P00781,医療法人社団 医献会 サーチュインクリニック京都院,自己脂肪組織由来幹細胞を用いた変形性関節症の治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2507006/5/0
possible_missing,strong_msk,2,京都府,医療法人財団康生会 たけだ膠原病リウマチクリニック,京都市下京区東洞院通七条下る二丁目東塩小路町606-3 三旺京都駅前ビル1階,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,0.6213,P00782,医療法人社団千春会 千春会ハイパーサーミアクリニック,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2507007/5/0
possible_missing,strong_msk,2,大阪府,医療法人社団　彦星会　大阪中之島整形外科,大阪市北区中之島四丁目3番51号　NakanoshimaQross４階,自己脂肪由来幹細胞を用いた変形性関節症の治療,0.836,P00830,医療法人幸永会 RPT大阪クリニック,自己脂肪由来幹細胞を用いた変形性関節症の治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2312020/5/0
possible_missing,strong_msk,2,大阪府,AC PLUS CLINIC,"大阪市中央区北久宝寺町2丁目1番3号
日本細胞ビル3, 4, 5, 7階",自家脂肪組織由来幹細胞（ASC）の局所投与による関節治療,0.471,P00785,ReO CLINIC,変形性関節症に対する自己脂肪由来幹細胞を用いた治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505021/5/0
possible_missing,strong_msk,2,大阪府,AC PLUS CLINIC,"大阪市中央区北久宝寺町2丁目1番3号
日本細胞ビル3, 4, 5, 7階",自家脂肪組織由来幹細胞（ASC）の静脈内投与による慢性筋骨格系疼痛治療,0.4511,P00388,医療法人香華会 Re:Born Clinic 大阪院,自己脂肪由来幹細胞を用いた慢性疼痛の治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2505022/5/0
possible_missing,strong_msk,2,大阪府,AC PLUS CLINIC,"大阪市中央区北久宝寺町2-1-3日本細胞ビル3,4,5,7階",自家脂肪組織由来幹細胞（ASC）の局所投与による関節治療,0.471,P00785,ReO CLINIC,変形性関節症に対する自己脂肪由来幹細胞を用いた治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2509011/5/0
possible_missing,strong_msk,2,大阪府,AC PLUS CLINIC,"大阪市中央区北久宝寺町2丁目1-3日本細胞ビル3,4,5,7階",自家脂肪組織由来幹細胞（ASC）の静脈内投与による慢性筋骨格系疼痛治療,0.4511,P00388,医療法人香華会 Re:Born Clinic 大阪院,自己脂肪由来幹細胞を用いた慢性疼痛の治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510027/5/0
possible_missing,strong_msk,2,大阪府,CELL GRAND CLINIC,大阪市中央区西心斎橋２丁目3-2 御堂筋ミナミビル４階,変形性関節症に対する多血小板血漿（ＰＲＰ）関節内投与療法,0.66,P00791,ひらまつ整形外科 難波膝スポーツクリニック,変形性関節症に対する多血小板血漿（PRP）関節内投与療法,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2502004/5/0
possible_missing,strong_msk,2,大阪府,CELL GRAND CLINIC,大阪市中央区西心斎橋２丁目3-2 御堂筋ミナミビル４階,膝関節症に対する自己脂肪由来幹細胞による治療,0.6856,P00785,ReO CLINIC,変形性関節症に対する自己脂肪由来幹細胞を用いた治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2602015/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2602015/5/1
possible_missing,strong_msk,2,大阪府,医療法人Nクリニック,岸和田市別所町3-10-10,脂肪幹細胞を用いた変形性関節症に対する再生医療,0.7304,P00799,医療法人Nクリニック,多血小板血漿（PRP）の投与による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2401006/5/0
possible_missing,strong_msk,2,大阪府,医療法人Nクリニック,岸和田市別所町3-10-10,脂肪由来間葉系間質細胞を用いた腱板、腱、靭帯、筋および周辺組織の治療,0.643,P00799,医療法人Nクリニック,多血小板血漿（PRP）の投与による変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510014/5/0
possible_missing,strong_msk,2,大阪府,医療法人Nクリニック　本町Nクリニック,大阪市西区西本町一丁目４番１号オリックス本町ビル２階,脂肪幹細胞を用いた変形性関節症に対する再生医療,0.6307,P00832,医療法人社団千美会 ガーデンクリニック ザ・ホワイトデンタルクリニック大阪院,自己脂肪由来幹細胞を用いた変形性関節症の治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2508013/5/0
possible_missing,strong_msk,2,大阪府,医療法人Nクリニック　本町Nクリニック,大阪市西区西本町一丁目４番１号オリックス本町ビル２階,変形性関節症に対する多血小板血漿を用いた再生医療,0.5892,P00805,医療法人 厚心会 まつかわ整形外科クリニック,変形性関節症に対する多血小板血漿（PRP）関節内投与療法,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2508014/5/0
possible_missing,strong_msk,2,大阪府,医療法人Nクリニック　本町Nクリニック,大阪市西区西本町一丁目４番１号オリックス 本町ビル２階,脂肪由来間葉系間質細胞を用いた腱板、腱、靭帯、筋および周辺組織の治療,0.5255,P00831,医療法人社団医進会大阪小田クリニック,自己脂肪由来間葉系幹細胞を用いた変形性関節症治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2510012/5/0
