lane	queue_index	plan_id	mhlw_plan_code	facility_id	prefecture	facility	category	treatment_class	status	amount	tax	unit	products	makers	document_url	ranking_eligible	merge_status	qc_reason
B	234	P00411	02E2509002	F0122	大阪府	社会医療法人愛仁会 高槻病院	第二種	ADRC	AUTO	3000000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2509002/5/0	true	READY_AUTO	line-level strong price context
B	235	P00417	02E2512006	F0127	大阪府	近畿大学病院	第三種	PRP	AUTO	29400	不明	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2512006/5/0	true	READY_AUTO	line-level strong price context
B	235	P00417	02E2512006	F0127	大阪府	近畿大学病院	第三種	PRP	AUTO	49000	不明	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2512006/5/0	true	READY_AUTO	line-level strong price context
B	236	P00412	02E2511001	F0127	大阪府	近畿大学病院	第二種	PRP	AUTO	49000	不明		APS|GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2511001/5/0	true	READY_AUTO	
B	236	P00412	02E2511001	F0127	大阪府	近畿大学病院	第二種	PRP	AUTO	300000	不明		APS|GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2511001/5/0	true	READY_AUTO	
B	236	P00412	02E2511001	F0127	大阪府	近畿大学病院	第二種	PRP	AUTO	50000	不明		APS|GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2511001/5/0	true	READY_AUTO	
B	236	P00412	02E2511001	F0127	大阪府	近畿大学病院	第二種	PRP	AUTO	34000	不明	1回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2511001/5/0	true	READY_AUTO	
B	236	P00412	02E2511001	F0127	大阪府	近畿大学病院	第二種	PRP	AUTO	49000	不明	1回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2511001/5/0	true	READY_AUTO	
B	236	P00412	02E2511001	F0127	大阪府	近畿大学病院	第二種	PRP	AUTO	210000	不明	1回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2511001/5/0	true	READY_AUTO	
B	236	P00412	02E2511001	F0127	大阪府	近畿大学病院	第二種	PRP	AUTO	300000	不明	1回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2511001/5/0	true	READY_AUTO	
