facility_key	prefecture	facility	mhlw_plan_codes	baseline_safe_resolved	source_operator	source_facility_name	source_products	inferred_manufacturer	match_type	confidence	source_address	source_url	already_mhlw_safe	already_manual_verified	is_new_candidate	normalized_key	existing_manufacturers	audit_status
大分県|仙波整形外科	大分県	仙波整形外科	01G2101005	NO	Arthrex	仙波整形外科	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	大分県	https://seikei-saisei.jp/institution.html	NO	NO	YES	大分県|仙波整形外科		NEW_MANUFACTURER_FACILITY
大阪府|医療法人讃高会枚方東整形外科病院	大阪府	医療法人讃高会 枚方東整形外科病院	02E2507044|02E2507045	NO	Zimmer Biomet	医療法人讃高会 枚方東整形外科病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒573-0126 大阪府枚方市津田西町1-37-8	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES	大阪府|讃高会枚方東整形外科病院		NEW_MANUFACTURER_FACILITY
山口県|医療法人社団宇部興産中央病院	山口県	医療法人社団 宇部興産中央病院	01F2206003|03F2208001	NO	Arthrex	医療法人社団宇部興産中央病院	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	山口県	https://seikei-saisei.jp/institution.html	NO	NO	YES	山口県|宇部興産中央病院		NEW_MANUFACTURER_FACILITY
山梨県|東甲府医院	山梨県	東甲府医院	01C2411014	NO	Zimmer Biomet	東甲府医院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒400-0803 山梨県甲府市桜井町299	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES	山梨県|東甲府医院		NEW_MANUFACTURER_FACILITY
山梨県|独立行政法人地域医療機能推進機構山梨病院	山梨県	独立行政法人地域医療機能推進機構 山梨病院	02C2605091	NO	Zimmer Biomet	独立行政法人地域医療機能推進機構 山梨病院	APS	Zimmer Biomet	EXACT_STRICT	HIGH	〒400-0025 山梨県甲府市朝日三丁目11-16	https://m.kansetsu-life.com/saisei/index.php	NO	NO	YES	山梨県|山梨病院		NEW_MANUFACTURER_FACILITY
岐阜県|公立学校共済組合東海中央病院	岐阜県	公立学校共済組合 東海中央病院	03D2509003	NO	Arthrex	東海中央病院	ACP-PRP	Arthrex	EXACT_LEGAL_STRIPPED	HIGH	岐阜県	https://seikei-saisei.jp/institution.html	NO	NO	YES	岐阜県|東海中央病院		NEW_MANUFACTURER_FACILITY
岐阜県|森整形外科リハビリクリニック	岐阜県	森整形外科リハビリクリニック	01D2109002|01D2109003	NO	Arthrex	森整形外科リハビリクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	岐阜県	https://seikei-saisei.jp/institution.html	NO	NO	YES	岐阜県|森整形外科リハビリクリニック		NEW_MANUFACTURER_FACILITY
岩手県|いわてスポーツ・整形外科クリニック	岩手県	いわてスポーツ・整形外科クリニック	01B2403004	NO	Arthrex	いわてスポーツ・整形外科クリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	岩手県	https://seikei-saisei.jp/institution.html	NO	NO	YES	岩手県|いわてスポーツ整形外科クリニック		NEW_MANUFACTURER_FACILITY
愛知県|ふくの森リハビリ整形外科	愛知県	ふくの森リハビリ整形外科	01D2404006	NO	Arthrex	ふくの森リハビリ整形外科	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	愛知県	https://seikei-saisei.jp/institution.html	NO	NO	YES	愛知県|ふくの森リハビリ整形外科		NEW_MANUFACTURER_FACILITY
愛知県|リジェネレーションクリニック	愛知県	リジェネレーションクリニック	01D2404004|01D2404005	NO	Arthrex	リジェネレーションクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	愛知県	https://seikei-saisei.jp/institution.html	NO	NO	YES	愛知県|リジェネレーションクリニック		NEW_MANUFACTURER_FACILITY
愛知県|瀬戸にしな整形外科クリニック	愛知県	瀬戸にしな整形外科クリニック	01D2111003	NO	Arthrex	瀬戸にしな整形外科クリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	愛知県	https://seikei-saisei.jp/institution.html	NO	NO	YES	愛知県|瀬戸にしな整形外科クリニック		NEW_MANUFACTURER_FACILITY
愛知県|米田病院	愛知県	米田病院	03D2604004|03D2604005	NO	Arthrex	米田病院	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	愛知県	https://seikei-saisei.jp/institution.html	NO	NO	YES	愛知県|米田病院		NEW_MANUFACTURER_FACILITY
東京都|おかのクリニック	東京都	おかのクリニック	01C2205034|01C2205035	NO	Arthrex	おかのクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	東京都	https://seikei-saisei.jp/institution.html	NO	NO	YES	東京都|おかのクリニック		NEW_MANUFACTURER_FACILITY
東京都|すみだ運動器リハビリテーションクリニック	東京都	すみだ運動器リハビリテーションクリニック	01C2302048	NO	Arthrex	すみだ運動器リハビリテーションクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	東京都	https://seikei-saisei.jp/institution.html	NO	NO	YES	東京都|すみだ運動器リハビリテーションクリニック		NEW_MANUFACTURER_FACILITY
東京都|医療法人社団山手クリニック	東京都	医療法人社団 山手クリニック	01C2310059	NO	Arthrex	山手クリニック	ACP-PRP	Arthrex	EXACT_LEGAL_STRIPPED	HIGH	東京都	https://seikei-saisei.jp/institution.html	NO	NO	YES	東京都|山手クリニック		NEW_MANUFACTURER_FACILITY
東京都|池尻大橋せらクリニック	東京都	池尻大橋せらクリニック	01C2403007	NO	Arthrex	池尻大橋せらクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	東京都	https://seikei-saisei.jp/institution.html	NO	NO	YES	東京都|池尻大橋せらクリニック		NEW_MANUFACTURER_FACILITY
東京都|順天堂大学医学部附属練馬病院	東京都	順天堂大学医学部附属練馬病院	03C2308020|03C2308021	NO	Arthrex	順天堂大学医学部附属練馬病院	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	東京都	https://seikei-saisei.jp/institution.html	NO	NO	YES	東京都|順天堂大学医学部附属練馬病院		NEW_MANUFACTURER_FACILITY
滋賀県|公立甲賀病院	滋賀県	公立甲賀病院	01E2307011|01E2307012	NO	Arthrex	公立甲賀病院	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	滋賀県	https://seikei-saisei.jp/institution.html	NO	NO	YES	滋賀県|公立甲賀病院		NEW_MANUFACTURER_FACILITY
神奈川県|ほんだ整形外科クリニック	神奈川県	ほんだ整形外科クリニック	01C2105005	NO	Arthrex	ほんだ整形外科クリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	神奈川県	https://seikei-saisei.jp/institution.html	NO	NO	YES	神奈川県|ほんだ整形外科クリニック		NEW_MANUFACTURER_FACILITY
神奈川県|医療法人横浜未来ヘルスケアシステム戸塚共立第2病院	神奈川県	医療法人横浜未来ヘルスケアシステム 戸塚共立第2病院	02C2508001|02C2508002	NO	Arthrex	医療法人横浜未来ヘルスケアシステム戸塚共立第２病院	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	神奈川県	https://seikei-saisei.jp/institution.html	NO	NO	YES	神奈川県|横浜未来ヘルスケアシステム戸塚共立第2病院		NEW_MANUFACTURER_FACILITY
福岡県|とも整形外科スポーツクリニック	福岡県	とも整形外科スポーツクリニック	01G1906001|01G2001007	NO	Arthrex	とも整形外科スポーツクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	福岡県	https://seikei-saisei.jp/institution.html	NO	NO	YES	福岡県|とも整形外科スポーツクリニック		NEW_MANUFACTURER_FACILITY
福岡県|櫛田学整形外科クリニック	福岡県	櫛田学整形外科クリニック	01G2107003	NO	Arthrex	櫛田学整形外科クリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	福岡県	https://seikei-saisei.jp/institution.html	NO	NO	YES	福岡県|櫛田学整形外科クリニック		NEW_MANUFACTURER_FACILITY
群馬県|慶友整形外科クリニック	群馬県	慶友整形外科クリニック	01C1906015|01C1910017	NO	Arthrex	慶友整形外科クリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	群馬県	https://seikei-saisei.jp/institution.html	NO	NO	YES	群馬県|慶友整形外科クリニック		NEW_MANUFACTURER_FACILITY
長野県|医療法人弘仁会かもいクリニック	長野県	医療法人弘仁会 かもいクリニック	01C2210029|01C2210030	NO	Arthrex	医療法人弘仁会　かもいクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	長野県	https://seikei-saisei.jp/institution.html	NO	NO	YES	長野県|弘仁会かもいクリニック		NEW_MANUFACTURER_FACILITY
静岡県|富士整形外科病院	静岡県	富士整形外科病院	02D2510005|02D2510006	NO	Arthrex	富士整形外科病院	ACP-PRP|HD-PRP	Arthrex	EXACT_STRICT	HIGH	静岡県	https://seikei-saisei.jp/institution.html	NO	NO	YES	静岡県|富士整形外科病院		NEW_MANUFACTURER_FACILITY
香川県|高松南整形外科スポーツクリニック	香川県	高松南整形外科スポーツクリニック	01F2203001|01F2203002	NO	Arthrex	高松南整形外科スポーツクリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	香川県	https://seikei-saisei.jp/institution.html	NO	NO	YES	香川県|高松南整形外科スポーツクリニック		NEW_MANUFACTURER_FACILITY
鹿児島県|天陽会中央クリニック	鹿児島県	天陽会中央クリニック	01G2110006	NO	Arthrex	天陽会中央クリニック	ACP-PRP	Arthrex	EXACT_STRICT	HIGH	鹿児島県	https://seikei-saisei.jp/institution.html	NO	NO	YES	鹿児島県|天陽会中央クリニック		NEW_MANUFACTURER_FACILITY
